"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HR.Delta.iCH4.Std"	"HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Std"	"Delta.13CO2.Mean"	"Delta.13CO2.Std"	"HR.12CH4.Mean"	"HR.12CH4.Std"	"HR.13CH4.Mean"	"HR.13CH4.Std"	"HP.12CH4.Mean"	"HP.12CH4.Std"	"HP.13CH4.Mean"	"HP.13CH4.Std"	"X12CO2.Mean"	"X12CO2.Std"	"X13CO2.Mean"	"X13CO2.Std"	"H2O.Mean"	"H2O.Std"	"ChemDetect.Mean"	"SSIM.Pressure..torr."	"Valve.Position"	"Standard.Delta.iCH4"	"Standard.Delta.iCO2"	"Standard.13CH4"	"Standard.13CO2"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"Timestamp.cor"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"nominal.conc"	"nominal.delta"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"
"23"	13	1	"04/08/16 14:47:59"	1460126632.6969	-85.875	7.124	-46.081	5.544	-5.806	1.153	0.988	0.006	0.01	0	0.995	0	0.011	0	244.497	0.108	2.79	0.004	1.194	0.063	0	NA	NA	NA	NA	NA	NA	"19"	19	10	1200	"  Mtot = 820.98g"	"04/08/16"	"14:47:59"	1460126632.6969	1.006	0.998	247.287	NA	NA	1020	3	765.062916354	3.13699690404221	3.29773675306103	-49.378736753061
"24"	14	1	"04/08/16 15:03:27"	1460127560.82647	-91.706	7.817	-45.255	4.917	-4.957	1.038	0.943	0.007	0.01	0	0.956	0	0.01	0	230.299	0.082	2.642	0.004	1.432	0.062	0	NA	NA	NA	NA	NA	NA	"19"	19	10	1200	"  Mtot = 820.98g"	"04/08/16"	"15:03:27"	1460127560.82647	0.966	0.953	232.941	NA	NA	1020	3	765.062916354	3.13699690404221	3.38091246177772	-48.6359124617777
"25"	15	1	"04/08/16 15:19:12"	1460128505.62002	-117.984	9.198	-42.397	6.902	-4.141	1.041	0.714	0.005	0.007	0	0.728	0.001	0.008	0	224.181	0.149	2.585	0.004	1.654	0.083	0	NA	NA	NA	NA	NA	NA	"22"	22	10	1200	"  Mtot = 850.97g"	"04/08/16"	"15:19:12"	1460128505.62002	0.736	0.721	226.766	NA	NA	1020	3	765.062916354	3.13699690404221	3.93837657851918	-46.3353765785192
"26"	16	1	"04/08/16 15:34:18"	1460129412.73737	-121.122	10.541	-40.729	7.652	-4.278	1.253	0.693	0.006	0.007	0	0.71	0.001	0.008	0	220.705	0.147	2.55	0.005	1.772	0.088	0	NA	NA	NA	NA	NA	NA	"22"	22	10	1200	"  Mtot = 850.97g"	"04/08/16"	"15:34:18"	1460129412.73737	0.718	0.7	223.255	NA	NA	1020	3	765.062916354	3.13699690404221	3.98913570536452	-44.7181357053645
"78"	27	1	"04/11/16 18:08:04"	1460397983.62823	-140.578	5.814	-33.41	3.305	7.543	0.345	1.932	0.013	0.019	0	1.736	0.001	0.019	0	873.924	0.173	10.043	0.004	0.841	0.003	0	NA	NA	NA	NA	NA	NA	"2"	2	15	1156	" Mtot = 852.10g"	"04/11/16"	"18:08:04"	1460397983.62823	1.755	1.951	883.967	NA	NA	1007.2	4	755.46212681544	2.04025228879526	2.15693884331845	-35.5669388433184
"79"	28	1	"04/11/16 18:19:16"	1460398656.30594	-140.764	4.788	-32.601	3.597	11.499	0.432	1.792	0.007	0.018	0	1.62	0.001	0.018	0	826.514	0.162	9.57	0.004	1.042	0.003	0	NA	NA	NA	NA	NA	NA	"2"	2	15	1202	" Mtot = 852.10g"	"04/11/16"	"18:19:16"	1460398656.30594	1.638	1.81	836.084	NA	NA	1007.2	4	755.46212681544	2.121438798557	2.2983742298667	-34.8993742298667
"80"	29	1	"04/11/16 18:31:08"	1460399366.1852	-148.284	4.168	-28.742	2.911	13.638	0.47	1.847	0.007	0.018	0	1.647	0.001	0.018	0	825.941	0.161	9.589	0.004	1.071	0.003	0	NA	NA	NA	NA	NA	NA	"2"	2	15	1202	" Mtot = 852.10g"	"04/11/16"	"18:31:08"	1460399366.1852	1.665	1.865	835.53	NA	NA	1007.2	4	755.46212681544	2.121438798557	2.26485849696357	-31.0068584969636
"84"	33	1	"04/11/16 19:16:08"	1460402068.59422	-133.808	5.585	-30.53	3.683	7.633	0.412	1.516	0.012	0.015	0	1.388	0.001	0.015	0	865.482	0.238	9.993	0.004	1.099	0.002	0	NA	NA	NA	NA	NA	NA	"9"	9	15	1204	" Mtot = 743.20g"	"04/11/16"	"19:16:08"	1460402068.59422	1.403	1.531	875.475	NA	NA	1007.2	4	755.46212681544	2.12496864680752	2.61584375770334	-33.1458437577033
"85"	34	1	"04/11/16 19:26:30"	1460402690.29867	-137.004	4.535	-28.584	2.888	8.756	0.382	1.526	0.008	0.015	0	1.388	0.001	0.015	0	857.071	0.198	9.905	0.003	1.085	0.002	0	NA	NA	NA	NA	NA	NA	"9"	9	15	1202	" Mtot = 743.20g"	"04/11/16"	"19:26:30"	1460402690.29867	1.403	1.541	866.976	NA	NA	1007.2	4	755.46212681544	2.121438798557	2.61584375770334	-31.1998437577033
"86"	35	1	"04/11/16 19:37:19"	1460403339.03601	-133.952	4.752	-32.873	3.452	5.724	0.368	1.739	0.008	0.017	0	1.588	0.001	0.017	0	865.764	0.186	9.973	0.004	1.073	0.002	0	NA	NA	NA	NA	NA	NA	"21"	21	15	1201	" Mtot = 870.05g"	"04/11/16"	"19:37:19"	1460403339.03601	1.605	1.756	875.737	NA	NA	1007.2	4	755.46212681544	2.11967387443175	2.34009629900694	-35.2130962990069
"87"	36	1	"04/11/16 19:47:49"	1460403968.91691	-141.081	11.66	-29.808	3.819	7.487	0.35	1.687	0.026	0.017	0	1.529	0.001	0.017	0	853.916	0.239	9.871	0.003	1.17	0.002	0	NA	NA	NA	NA	NA	NA	"21"	21	15	1200	" Mtot = 870.05g"	"04/11/16"	"19:47:49"	1460403968.91691	1.546	1.704	863.787	NA	NA	1007.2	4	755.46212681544	2.11790895030649	2.41687455216128	-32.2248745521613
"88"	37	1	"04/11/16 19:57:37"	1460404557.00757	-145.53	8.864	-29.457	3.322	7.551	0.296	1.696	0.02	0.017	0	1.526	0.001	0.017	0	846.457	0.139	9.776	0.003	1.116	0.002	0	NA	NA	NA	NA	NA	NA	"21"	21	15	1199	" Mtot = 870.05g"	"04/11/16"	"19:57:37"	1460404557.00757	1.543	1.713	856.233	NA	NA	1007.2	4	755.46212681544	2.11614402618124	2.4208564245689	-31.8778564245689
"188"	6	1	"04/14/16 17:02:29"	1460653252.93686	-32.884	6.896	-39.798	5.32	-8.971	0.97	1.081	0.007	0.012	0	1.132	0.001	0.012	0	312.627	0.17	3.546	0.004	1.04	0.002	0	NA	NA	NA	NA	NA	NA	"10"	10	10	901	" Mtot = 695.33g."	"04/14/16"	"17:02:29"	1460653252.93686	1.144	1.093	316.173	NA	NA	1023.1	6	767.38810757037	2.34822507962147	3.03421166943691	-42.8322116694369
"189"	7	1	"04/14/16 17:13:37"	1460653922.86701	-35.23	6.785	-35.132	4.313	-7.451	0.808	1.053	0.008	0.012	0	1.135	0.001	0.013	0	305.059	0.159	3.52	0.003	1.862	0.003	0	NA	NA	NA	NA	NA	NA	"10"	10	10	901	" Mtot = 695.33g."	"04/14/16"	"17:13:37"	1460653922.86701	1.148	1.065	308.579	NA	NA	1023.1	6	767.38810757037	2.34822507962147	3.02705633931038	-38.1590563393104
"190"	8	1	"04/14/16 17:25:32"	1460654636.9809	-50.322	6.417	-38.729	3.909	-6.799	0.84	1.192	0.007	0.013	0	1.256	0.001	0.014	0	289.7	0.176	3.341	0.003	1.802	0.002	0	NA	NA	NA	NA	NA	NA	"13"	13	10	901	" Mtot = 815.18g."	"04/14/16"	"17:25:32"	1460654636.9809	1.27	1.205	293.041	NA	NA	1023.1	6	767.38810757037	2.34822507962147	2.82001535403548	-41.5490153540355
"191"	9	1	"04/14/16 17:36:49"	1460655313.919	-61.915	6.414	-38.927	3.802	-5.17	0.97	1.175	0.006	0.013	0	1.238	0.001	0.014	0	284.731	0.17	3.308	0.004	2.102	0.002	0	NA	NA	NA	NA	NA	NA	"13"	13	10	901	" Mtot = 815.18g. (Pssim = 901 torr)."	"04/14/16"	"17:36:49"	1460655313.919	1.252	1.188	288.039	NA	NA	1023.1	6	767.38810757037	2.34822507962147	2.84927834101029	-41.7762783410103
"192"	10	1	"04/14/16 17:47:25"	1460655950.3138	-63.903	5.215	-40.388	3.743	-5.15	0.786	1.305	0.006	0.014	0	1.362	0.001	0.015	0	302.795	0.178	3.516	0.003	2.073	0.002	0	NA	NA	NA	NA	NA	NA	"16"	16	10	901	" Mtot = 863.13g."	"04/14/16"	"17:47:25"	1460655950.3138	1.377	1.319	306.311	NA	NA	1023.1	6	767.38810757037	2.34822507962147	2.65419019951964	-43.0421901995196
"193"	11	1	"04/14/16 17:57:44"	1460656568.27555	-65.435	6.199	-39.162	4.025	-4.492	1.082	1.221	0.006	0.013	0	1.282	0.001	0.014	0	284.07	0.166	3.308	0.003	2.184	0.001	0	NA	NA	NA	NA	NA	NA	"16"	16	10	901	" Mtot = 863.13g."	"04/14/16"	"17:57:44"	1460656568.27555	1.296	1.234	287.378	NA	NA	1023.1	6	767.38810757037	2.34822507962147	2.77847067424333	-41.9404706742433
"194"	1	1	"04/14/16 18:16:12"	1460657676.48799	-73.724	7.515	-36.499	4.92	-3.049	0.884	1.047	0.007	0.011	0	1.099	0.001	0.012	0	251.278	0.13	2.928	0.003	2.142	0.004	0	NA	NA	NA	NA	NA	NA	"16"	16	10	1220	" Mtot = 863.13g.  NOTE: 2 dupes in previous file.  increased Pssim to 5psi == 1220torr"	"04/14/16"	"18:16:12"	1460657676.48799	1.111	1.058	254.206	NA	NA	1023.1	6	767.38810757037	3.17961664499244	3.09421595315214	-39.5932159531521
"195"	2	1	"04/14/16 18:33:36"	1460658720.65507	-69.154	8.207	-38.302	5.999	-4.67	1.073	1.027	0.006	0.011	0	1.071	0	0.012	0	244.912	0.097	2.831	0.003	1.806	0.004	0	NA	NA	NA	NA	NA	NA	"19"	19	10	1137	" Mtot = 820.98.   Pssim = 1137 torr."	"04/14/16"	"18:33:36"	1460658720.65507	1.083	1.038	247.743	NA	NA	1023.1	6	767.38810757037	2.96329846340689	3.14654331556135	-41.4485433155614
"198"	3	1	"04/14/16 19:26:19"	1460661884.00913	-73.923	7.142	-38.593	5.141	-3.942	0.88	1.184	0.007	0.013	0	1.248	0.001	0.014	0	303.149	0.189	3.552	0.004	2.477	0.003	0	NA	NA	NA	NA	NA	NA	"19"	19	10	877	" Mtot = 820.98. Pssim = 877torr"	"04/14/16"	"19:26:19"	1460661884.00913	1.262	1.197	306.701	NA	NA	1023.1	6	767.38810757037	2.28567524398227	2.83296958355601	-41.425969583556
"199"	4	1	"04/14/16 19:37:40"	1460662565.42609	-83.674	7.958	-35.251	4.244	-2.879	0.756	0.996	0.007	0.011	0	1.066	0.001	0.012	0	311.953	0.176	3.68	0.003	2.76	0.001	0	NA	NA	NA	NA	NA	NA	"22"	22	10	872	" Mtot = 850.97."	"04/14/16"	"19:37:40"	1460662565.42609	1.078	1.007	315.633	NA	NA	1023.1	6	767.38810757037	2.27264402822411	3.15602968140205	-38.407029681402
"200"	5	1	"04/14/16 19:48:33"	1460663217.78989	-90.145	7.574	-34.574	5.384	-2.054	1.062	0.886	0.006	0.01	0	0.958	0.001	0.011	0	279.695	0.191	3.306	0.004	2.814	0.001	0	NA	NA	NA	NA	NA	NA	"22"	22	10	871	" Mtot = 850.97. Pssim = 871.48"	"04/14/16"	"19:48:33"	1460663217.78989	0.969	0.896	283.001	NA	NA	1023.1	6	767.38810757037	2.27003778507247	3.37455586753731	-37.9485558675373
"201"	6	1	"04/14/16 19:59:05"	1460663849.29854	-103.438	7.461	-35.526	6.384	-2.16	1.068	0.853	0.006	0.009	0	0.921	0.001	0.01	0	272.309	0.175	3.226	0.004	2.927	0.001	0	NA	NA	NA	NA	NA	NA	"22"	22	10	871	" Mtot = 850.97. Pssim = 871.48"	"04/14/16"	"19:59:05"	1460663849.29854	0.931	0.862	275.535	NA	NA	1023.1	6	767.38810757037	2.27003778507247	3.45656680349539	-38.9825668034954
"315"	21	1	"04/16/16 15:49:47"	1460821686.81816	-49.866	6.186	-50.921	4.162	-2.843	0.37	1.225	0.006	0.013	0	1.263	0.001	0.014	0	1023.813	0.434	11.68	0.005	1.011	0.002	0	NA	NA	NA	NA	NA	NA	" 3"	45	15	879	" mtotal=738.56. Pssim= 879."	"04/16/16"	"15:49:47"	1460821686.81816	1.277	1.238	1035.493	NA	NA	1027.67	8	770.815889460309	1.52046684042876	2.80874716704668	-53.7297471670467
"316"	22	1	"04/16/16 16:02:53"	1460822472.617	-58.252	6.469	-51.822	4.507	-2.661	0.269	1.232	0.008	0.013	0	1.283	0.001	0.014	0	1028.515	0.443	11.839	0.006	1.484	0.001	0	NA	NA	NA	NA	NA	NA	" 3"	45	15	879	" mtotal=738.56. "	"04/16/16"	"16:02:53"	1460822472.617	1.297	1.245	1040.354	NA	NA	1027.67	8	770.815889460309	1.52046684042876	2.77688949406467	-54.5988894940647
"317"	23	1	"04/16/16 16:16:24"	1460823283.62884	-61.629	6.96	-52.088	3.915	-2.698	0.312	1.05	0.007	0.011	0	1.101	0.001	0.012	0	983.173	0.447	11.326	0.006	1.53	0.002	0	NA	NA	NA	NA	NA	NA	" 4"	46	15	879	" mtotal=897.94. Pssim= 879."	"04/16/16"	"16:16:24"	1460823283.62884	1.113	1.061	994.499	NA	NA	1027.67	8	770.815889460309	1.52046684042876	3.09052890179851	-55.1785289017985
"318"	24	1	"04/16/16 16:27:13"	1460823933.31846	-60.819	7.155	-51.568	4.423	-2.75	0.428	1.055	0.007	0.011	0	1.106	0.001	0.012	0	977.581	0.405	11.259	0.006	1.522	0.002	0	NA	NA	NA	NA	NA	NA	" 4"	46	15	879	" mtotal=897.94. "	"04/16/16"	"16:27:13"	1460823933.31846	1.118	1.066	988.84	NA	NA	1027.67	8	770.815889460309	1.52046684042876	3.08134018179754	-54.6493401817975
"319"	25	1	"04/16/16 16:41:06"	1460824766.04479	-58.031	4.849	-55.012	3.51	-3.193	0.346	1.495	0.006	0.016	0	1.546	0.002	0.017	0	1022.698	0.425	11.754	0.006	1.434	0.003	0	NA	NA	NA	NA	NA	NA	" 6"	47	15	879	" mtotal=1032.63. Pssim= 879."	"04/16/16"	"16:41:06"	1460824766.04479	1.563	1.511	1034.452	NA	NA	1027.67	8	770.815889460309	1.52046684042876	2.39445554454935	-57.4064555445494
"320"	26	1	"04/16/16 16:52:27"	1460825447.2245	-55.984	4.826	-53.825	3.222	-3.147	0.35	1.512	0.006	0.016	0	1.559	0.002	0.017	0	1021.149	0.459	11.713	0.006	1.323	0.003	0	NA	NA	NA	NA	NA	NA	" 6"	47	15	879	" mtotal=1032.63. "	"04/16/16"	"16:52:27"	1460825447.2245	1.576	1.528	1032.862	NA	NA	1027.67	8	770.815889460309	1.52046684042876	2.37747551755684	-56.2024755175568
"373"	16	1	"04/17/16 13:15:28"	1460898828.95834	-64.863	6.776	-43.74	5.089	-7.584	0.935	1.012	0.006	0.011	0	1.061	0.002	0.012	0	270.129	0.22	3.105	0.004	1.68	0.003	0	NA	NA	NA	NA	NA	NA	"10"	10	10	838	" mtotal=695.33. "	"04/17/16"	"13:15:28"	1460898828.95834	1.073	1.023	273.234	NA	NA	1028.31	9	771.295928937237	2.17296622103185	3.16556014952045	-46.9055601495205
"374"	17	1	"04/17/16 13:25:15"	1460899414.9219	-64.97	7.303	-45.935	4.934	-7.94	1.019	1.004	0.008	0.011	0	1.042	0.002	0.011	0	271.318	0.192	3.101	0.004	1.387	0.004	0	NA	NA	NA	NA	NA	NA	"10"	10	10	838	" mtotal=695.33. Pssim=838.0 Torr."	"04/17/16"	"13:25:15"	1460899414.9219	1.053	1.015	274.419	NA	NA	1028.31	9	771.295928937237	2.17296622103185	3.20413137203873	-49.1391313720387
"375"	18	1	"04/17/16 13:37:06"	1460900126.25731	-66.219	6.932	-45.397	4.416	-7.647	0.98	1.142	0.007	0.012	0	1.185	0.002	0.013	0	264.241	0.194	3.033	0.003	1.607	0.004	0	NA	NA	NA	NA	NA	NA	"13"	13	10	838	" mtotal=815.18. "	"04/17/16"	"13:37:06"	1460900126.25731	1.198	1.154	267.274	NA	NA	1028.31	9	771.295928937237	2.17296622103185	2.93966032562882	-48.3366603256288
"376"	19	1	"04/17/16 13:47:07"	1460900727.22355	-63.099	5.459	-44.643	3.588	-7.928	0.915	1.156	0.007	0.012	0	1.2	0.002	0.013	0	271.408	0.205	3.113	0.003	1.579	0.005	0	NA	NA	NA	NA	NA	NA	"13"	13	10	838	" mtotal=815.18. "	"04/17/16"	"13:47:07"	1460900727.22355	1.213	1.168	274.521	NA	NA	1028.31	9	771.295928937237	2.17296622103185	2.91415190857808	-47.5571519085781
"377"	20	1	"04/17/16 13:57:49"	1460901368.72138	-61.937	6.068	-45.495	3.931	-8.402	1.045	1.192	0.006	0.013	0	1.223	0.002	0.013	0	263.729	0.185	3.006	0.004	1.266	0.005	0	NA	NA	NA	NA	NA	NA	"16"	16	10	838	" mtotal=863.13. Pssim=837.7 Torr."	"04/17/16"	"13:57:49"	1460901368.72138	1.236	1.205	266.735	NA	NA	1028.31	9	771.295928937237	2.17296622103185	2.87564526397723	-48.3706452639772
"378"	21	1	"04/17/16 14:07:42"	1460901962.38057	-60.209	5.744	-46.432	4.428	-8.72	0.98	1.202	0.007	0.013	0	1.236	0.002	0.013	0	268.512	0.184	3.058	0.004	1.244	0.005	0	NA	NA	NA	NA	NA	NA	"16"	16	10	838	" mtotal=863.13. "	"04/17/16"	"14:07:42"	1460901962.38057	1.249	1.215	271.57	NA	NA	1028.31	9	771.295928937237	2.17296622103185	2.85419637615595	-49.2861963761559
"379"	22	1	"04/17/16 14:18:38"	1460902617.50751	-64.833	6.073	-45.029	4.735	-7.733	1.018	1.148	0.006	0.012	0	1.196	0.002	0.013	0	265.253	0.211	3.05	0.004	1.706	0.005	0	NA	NA	NA	NA	NA	NA	"19"	19	10	837	" mtotal=820.98. Pssim=837.2 Torr."	"04/17/16"	"14:18:38"	1460902617.50751	1.209	1.16	268.303	NA	NA	1028.31	9	771.295928937237	2.17037318258193	2.92092317815306	-47.9499231781531
"380"	23	1	"04/17/16 14:29:22"	1460903262.20852	-69.486	6.546	-45.26	4.377	-7.65	1.011	1.127	0.007	0.012	0	1.183	0.001	0.013	0	265.553	0.2	3.07	0.003	1.983	0.005	0	NA	NA	NA	NA	NA	NA	"19"	19	10	837	" mtotal=820.98."	"04/17/16"	"14:29:22"	1460903262.20852	1.196	1.139	268.623	NA	NA	1028.31	9	771.295928937237	2.17037318258193	2.9430855561667	-48.2030855561667
"381"	24	1	"04/17/16 14:42:38"	1460904058.13295	-75.258	7.852	-43.689	5.574	-7.42	1.138	0.913	0.006	0.01	0	0.97	0.001	0.011	0	262.531	0.201	3.038	0.004	2.022	0.006	0	NA	NA	NA	NA	NA	NA	"22"	22	10	837	" mtotal=850.97. Pssim=836.7 Torr. opened valve a little late."	"04/17/16"	"14:42:38"	1460904058.13295	0.981	0.923	265.569	NA	NA	1028.31	9	771.295928937237	2.17037318258193	3.34932477980439	-47.0383247798044
"382"	25	1	"04/17/16 14:52:52"	1460904672.85825	-71.602	6.638	-43.357	5.376	-7.722	0.84	0.905	0.005	0.01	0	0.956	0.001	0.011	0	259.338	0.201	2.987	0.004	1.791	0.006	0	NA	NA	NA	NA	NA	NA	"22"	22	10	837	" mtotal=850.97. "	"04/17/16"	"14:52:52"	1460904672.85825	0.967	0.915	262.325	NA	NA	1028.31	9	771.295928937237	2.17037318258193	3.37879140623413	-46.7357914062341
"478"	8	1	"04/19/16 08:28:12"	1461054392.3627	-51.92	6.389	-44.525	4.823	-7.976	0.978	1.049	0.006	0.011	0	1.068	0.002	0.012	0	277.111	0.222	3.128	0.004	0.713	0.001	0	NA	NA	NA	NA	NA	NA	"10"	10	10	834	" mtotal=695.33. Pssim=834.1 Torr. 25mL glass syringe."	"04/19/16"	"08:28:12"	1461054392.3627	1.08	1.06	280.239	NA	NA	1025.95	11	769.525783366065	2.16756869757349	3.15222986567094	-47.6772298656709
"479"	9	1	"04/19/16 08:38:33"	1461055012.80085	-59.322	6.971	-44.099	5.223	-7.807	0.833	1.017	0.006	0.011	0	1.043	0.002	0.011	0	276.481	0.226	3.142	0.003	1.067	0	0	NA	NA	NA	NA	NA	NA	"10"	10	10	834	" mtotal=695.33."	"04/19/16"	"08:38:33"	1461055012.80085	1.054	1.028	279.623	NA	NA	1025.95	11	769.525783366065	2.16756869757349	3.2021854772557	-47.3011854772557
"480"	10	1	"04/19/16 08:49:25"	1461055664.66896	-66.305	5.882	-45.161	4.238	-7.137	0.964	1.148	0.006	0.012	0	1.19	0.002	0.013	0	267.574	0.214	3.073	0.003	1.598	0.003	0	NA	NA	NA	NA	NA	NA	"13"	13	10	834	" mtotal=815.18. Pssim=834.1 Torr."	"04/19/16"	"08:49:25"	1461055664.66896	1.203	1.16	270.647	NA	NA	1025.95	11	769.525783366065	2.16756869757349	2.93112220416529	-48.0921222041653
"481"	11	1	"04/19/16 08:59:24"	1461056264.16634	-67.657	5.427	-44.734	4.808	-7.399	0.843	1.133	0.006	0.012	0	1.183	0.002	0.013	0	268.65	0.224	3.097	0.003	1.807	0.005	0	NA	NA	NA	NA	NA	NA	"13"	13	10	834	" mtotal=815.18. "	"04/19/16"	"08:59:24"	1461056264.16634	1.196	1.145	271.747	NA	NA	1025.95	11	769.525783366065	2.16756869757349	2.9430855561667	-47.6770855561667
