"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HR.Delta.iCH4.Std"	"HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Std"	"Delta.13CO2.Mean"	"Delta.13CO2.Std"	"HR.12CH4.Mean"	"HR.12CH4.Std"	"HR.13CH4.Mean"	"HR.13CH4.Std"	"HP.12CH4.Mean"	"HP.12CH4.Std"	"HP.13CH4.Mean"	"HP.13CH4.Std"	"X12CO2.Mean"	"X12CO2.Std"	"X13CO2.Mean"	"X13CO2.Std"	"H2O.Mean"	"H2O.Std"	"ChemDetect.Mean"	"SSIM.Pressure..torr."	"Valve.Position"	"Standard.Delta.iCH4"	"Standard.Delta.iCO2"	"Standard.13CH4"	"Standard.13CO2"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"nominal.conc"	"nominal.delta"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"
"20"	20	1	"07/07/16 13:40:20"	1467913124.44002	-40.44	1.774	-39.902	1.569	-13.871	6.306	4.062	0.009	0.044	0	4.054	0.007	0.044	0	35.732	0.155	0.397	0.003	0.092	0.003	0	NA	NA	NA	NA	NA	NA	23	53	5	842	" Mtot = 809.55."	"07/07/16"	"13:40:20"	4.098	4.106	36.129	NA	NA	1008.53	25	756.459708853431	4.452319086637	0	-39.902
"21"	21	1	"07/07/16 13:51:03"	1467913767.16294	-40.207	1.963	-39.451	1.237	-13.04	7.509	4.023	0.01	0.043	0	4.016	0.007	0.043	0	36.668	0.145	0.407	0.004	0.112	0.003	0	NA	NA	NA	NA	NA	NA	23	53	5	842	" Mtot = 809.55. "	"07/07/16"	"13:51:03"	4.059	4.066	37.075	NA	NA	1008.53	25	756.459708853431	4.452319086637	0	-39.451
"39"	39	1	"07/07/16 17:09:26"	1467925670.54683	-37.519	0.597	-38.056	0.457	-17.578	7.836	13.35	0.025	0.145	0	13.34	0.024	0.144	0	32.206	0.135	0.356	0.003	0.096	0.003	0	NA	NA	NA	NA	NA	NA	11	56	5	837	" Mtot = 904.24."	"07/07/16"	"17:09:26"	13.484	13.495	32.562	NA	NA	1008.53	25	756.459708853431	4.42588013719141	0	-38.056
"40"	40	1	"07/07/16 17:19:46"	1467926290.52761	-37.565	0.744	-38.326	0.579	-16.462	8.624	8.193	0.016	0.089	0	8.188	0.016	0.089	0	28.243	0.138	0.313	0.003	0.076	0.003	0	NA	NA	NA	NA	NA	NA	11	56	3	837	" Mtot = 904.24."	"07/07/16"	"17:19:46"	8.277	8.282	28.556	NA	NA	1008.53	25	756.459708853431	7.37646689531902	0	-38.326
"41"	41	1	"07/07/16 17:29:30"	1467926874.76603	-37.548	0.93	-38.209	0.587	-19.806	9.683	8.39	0.016	0.091	0	8.385	0.015	0.091	0	28.479	0.144	0.314	0.003	0.084	0.003	0	NA	NA	NA	NA	NA	NA	11	56	3	837	" Mtot = 904.24."	"07/07/16"	"17:29:30"	8.476	8.481	28.793	NA	NA	1008.53	25	756.459708853431	7.37646689531902	0	-38.209
"42"	42	1	"07/07/16 17:39:31"	1467927474.97469	-37.449	0.897	-38.231	0.805	-16.962	8.734	8.274	0.016	0.09	0	8.27	0.015	0.089	0	29.274	0.141	0.324	0.003	0.079	0.002	0	NA	NA	NA	NA	NA	NA	11	56	3	837	" Mtot = 904.24."	"07/07/16"	"17:39:31"	8.359	8.364	29.598	NA	NA	1008.53	25	756.459708853431	7.37646689531902	0	-38.231
"43"	43	1	"07/07/16 17:49:58"	1467928102.8673	-22.246	0.138	9999999	0	-3.897	4.755	240.447	0.432	2.645	0.005	230.655	0	9999999	0	52.14	0.168	0.584	0.003	0.074	0.003	0	NA	NA	NA	NA	NA	NA	12	57	3	836	" Mtot = 882.95.  This got accidentally spiked with 500x -23.9 permil."	"07/07/16"	"17:49:58"	10000229.655	243.092	52.724	NA	NA	1008.53	25	756.459708853431	7.36765391217049	0	9999999
"45"	45	1	"07/07/16 18:15:02"	1467929607.10837	-22.384	0.134	9999999	0	-12.205	16.024	74.278	0.138	0.817	0.002	55.687	0	9999999	0	14.621	0.123	0.162	0.003	0.057	0.002	0	NA	NA	NA	NA	NA	NA	12	57	1	836	" Mtot = 882.95."	"07/07/16"	"18:15:02"	10000054.687	75.095	14.783	NA	NA	1008.53	25	756.459708853431	22.1029617365115	0	9999999
"46"	1	1	"07/07/16 18:28:36"	1467930419.97514	-22.395	0.15	9999999	0	-7.328	18.913	71.407	0.136	0.785	0.002	52.397	0	9999999	0	13.372	0.121	0.149	0.003	0.048	0.002	0	NA	NA	NA	NA	NA	NA	12	57	1	836	" Mtot = 882.95."	"07/07/16"	"18:28:36"	10000051.397	72.192	13.521	NA	NA	1008.53	25	756.459708853431	22.1029617365115	0	9999999
"47"	1	1	"07/07/16 18:44:04"	1467931347.77775	-36.806	0.809	-37.652	0.608	-7.138	6.889	9.421	0.019	0.102	0	9.418	0.018	0.102	0	39.067	0.152	0.437	0.003	0.092	0.002	0	NA	NA	NA	NA	NA	NA	30	58	3	836	" Mtot = 904.67."	"07/07/16"	"18:44:04"	9.52	9.523	39.504	NA	NA	1008.53	25	756.459708853431	7.36765391217049	0	-37.652
"48"	2	1	"07/07/16 18:55:32"	1467932036.50258	-36.214	1.013	-37.372	0.707	-12.451	9.194	8.218	0.016	0.089	0	8.22	0.016	0.089	0	22.039	0.145	0.245	0.003	0.133	0.002	0	NA	NA	NA	NA	NA	NA	30	58	3	836	" Mtot = 904.67."	"07/07/16"	"18:55:32"	8.309	8.307	22.284	NA	NA	1008.53	25	756.459708853431	7.36765391217049	0	-37.372
"49"	3	1	"07/07/16 19:07:16"	1467932740.98013	-36.726	0.823	-37.84	0.592	-8.603	5.282	8.694	0.018	0.094	0	8.694	0.016	0.094	0	49.47	0.153	0.552	0.004	0.101	0.003	0	NA	NA	NA	NA	NA	NA	30	58	3	836	" Mtot = 904.67."	"07/07/16"	"19:07:16"	8.788	8.788	50.022	NA	NA	1008.53	25	756.459708853431	7.36765391217049	0	-37.84
"50"	4	1	"07/07/16 19:19:34"	1467933478.82599	-36.986	0.747	-37.774	0.587	-9.15	3.034	10.875	0.021	0.118	0	10.87	0.02	0.118	0	65.18	0.179	0.727	0.003	0.087	0.002	0	NA	NA	NA	NA	NA	NA	14	59	3	836	" Mtot = 884.49."	"07/07/16"	"19:19:34"	10.988	10.993	65.907	NA	NA	1008.53	25	756.459708853431	7.36765391217049	0	-37.774
"51"	5	1	"07/07/16 19:29:42"	1467934086.12828	-36.726	0.596	-37.829	0.525	-8.543	3.805	10.995	0.022	0.119	0	10.994	0.021	0.119	0	63.674	0.165	0.711	0.003	0.095	0.002	0	NA	NA	NA	NA	NA	NA	14	59	3	836	" Mtot = 884.49."	"07/07/16"	"19:29:42"	11.113	11.114	64.385	NA	NA	1008.53	25	756.459708853431	7.36765391217049	0	-37.829
"63"	17	1	"07/07/16 21:41:50"	1467942022.89408	-22.18	0.224	9999999	0	0.582	4.203	1319.905	2.173	14.525	0.026	381.048	0	9999999	0	313.229	0.376	3.528	0.011	0.096	0.008	0.326	NA	NA	NA	NA	NA	NA	28	60	15	835	" Mtot = 809.11. CH4 381ppm"	"07/07/16"	"21:41:50"	10000380.048	1334.43	316.757	NA	NA	1008.53	25	756.459708853431	1.47176818580439	0	9999999
"65"	19	1	"07/07/16 22:03:44"	1467943327.48386	-22.402	0.148	9999999	0	-1.893	17.866	85.942	0.17	0.945	0.002	57.628	0	9999999	0	13.375	0.108	0.15	0.003	0.037	0.002	0	NA	NA	NA	NA	NA	NA	28	60	1	835	" Mtot = 809.11. "	"07/07/16"	"22:03:44"	10000056.628	86.887	13.525	NA	NA	1008.53	25	756.459708853431	22.0765227870659	0	9999999
"66"	20	1	"07/07/16 22:14:24"	1467943969.37512	-22.33	0.138	9999999	0	-1.776	15.062	87.871	0.167	0.966	0.002	73.021	0	9999999	0	12.931	0.114	0.145	0.003	0.037	0.002	0	NA	NA	NA	NA	NA	NA	28	60	1	835	" Mtot = 809.11. "	"07/07/16"	"22:14:24"	10000072.021	88.837	13.076	NA	NA	1008.53	25	756.459708853431	22.0765227870659	0	9999999
"67"	21	1	"07/07/16 22:27:04"	1467944728.83384	-36.916	2.448	-37.353	1.626	-19.766	19.542	2.645	0.011	0.029	0	2.642	0.007	0.029	0	14.301	0.112	0.158	0.003	0.037	0.002	0	NA	NA	NA	NA	NA	NA	33	61	1	835	" Mtot = 789.63."	"07/07/16"	"22:27:04"	2.671	2.674	14.459	NA	NA	1008.53	25	756.459708853431	22.0765227870659	0	-37.353
"68"	22	1	"07/07/16 22:37:53"	1467945378.52072	-37.293	0.817	-37.792	0.638	-7.6	3.926	8.672	0.018	0.094	0	8.664	0.018	0.094	0	61.72	0.169	0.689	0.003	0.052	0.002	0	NA	NA	NA	NA	NA	NA	33	61	3	835	" Mtot = 789.63."	"07/07/16"	"22:37:53"	8.758	8.766	62.409	NA	NA	1008.53	25	756.459708853431	7.35884092902196	0	-37.792
"69"	23	1	"07/07/16 22:48:11"	1467945996.16591	-37.083	1.031	-37.867	0.663	-6.841	4.412	8.647	0.018	0.094	0	8.642	0.017	0.093	0	57.749	0.148	0.645	0.003	0.053	0.002	0	NA	NA	NA	NA	NA	NA	33	61	3	834	" Mtot = 789.63."	"07/07/16"	"22:48:11"	8.735	8.741	58.394	NA	NA	1008.53	25	756.459708853431	7.35002794587344	0	-37.867
"81"	7	1	"07/08/16 09:21:52"	1467984016.25171	-36.833	2.067	-37.887	1.399	-8.095	2.291	4.033	0.007	0.044	0	4.032	0.006	0.044	0	97.538	0.164	1.088	0.003	0.053	0.003	0	NA	NA	NA	NA	NA	NA	42	62	5	866	" Mtot = 916.04."	"07/08/16"	"09:21:52"	4.076	4.077	98.626	NA	NA	1008.41	26	756.369701451507	4.57977096828764	0	-37.887
"82"	8	1	"07/08/16 09:33:00"	1467984684.20234	-36.39	1.842	-37.685	1.286	-7.748	3.177	4.023	0.01	0.044	0	4.025	0.006	0.044	0	89.241	0.168	0.997	0.004	0.099	0.003	0	NA	NA	NA	NA	NA	NA	42	62	5	866	" Mtot = 916.04."	"07/08/16"	"09:33:00"	4.069	4.067	90.238	NA	NA	1008.41	26	756.369701451507	4.57977096828764	0	-37.685
"83"	9	1	"07/08/16 09:43:14"	1467985299.35943	-35.374	1.797	-37.17	1.335	-9.684	2.215	4.054	0.008	0.044	0	4.059	0.006	0.044	0	97.954	0.189	1.092	0.003	0.105	0.003	0	NA	NA	NA	NA	NA	NA	43	63	5	866	" Mtot = 825.98."	"07/08/16"	"09:43:14"	4.103	4.098	99.046	NA	NA	1008.41	26	756.369701451507	4.57977096828764	0	-37.17
"84"	10	1	"07/08/16 09:53:25"	1467985909.97796	-35.578	1.82	-37.225	1.366	-9.021	2.737	3.68	0.007	0.04	0	3.683	0.006	0.04	0	95.054	0.172	1.06	0.003	0.097	0.003	0	NA	NA	NA	NA	NA	NA	43	63	5	866	" Mtot = 825.98. "	"07/08/16"	"09:53:25"	3.723	3.72	96.114	NA	NA	1008.41	26	756.369701451507	4.57977096828764	0	-37.225
"85"	11	1	"07/08/16 10:03:44"	1467986528.85184	-35.937	2.208	-37.836	1.449	-9.783	2.256	3.693	0.007	0.04	0	3.697	0.006	0.04	0	103.844	0.19	1.157	0.003	0.093	0.003	0	NA	NA	NA	NA	NA	NA	43	63	5	865	" Mtot = 825.98."	"07/08/16"	"10:03:44"	3.737	3.733	105.001	NA	NA	1008.41	26	756.369701451507	4.57448254915567	0	-37.836
"86"	12	1	"07/08/16 10:15:10"	1467987214.99785	-36.157	1.794	-37.421	1.133	-9.685	2.415	3.797	0.008	0.041	0	3.798	0.006	0.041	0	95.605	0.174	1.065	0.003	0.08	0.003	0	NA	NA	NA	NA	NA	NA	49	64	5	865	" Mtot = 834.15."	"07/08/16"	"10:15:10"	3.839	3.838	96.67	NA	NA	1008.41	26	756.369701451507	4.57448254915567	0	-37.421
"87"	13	1	"07/08/16 10:25:30"	1467987834.67531	-36.137	1.758	-37.838	1.239	-9.203	2.064	3.732	0.007	0.04	0	3.735	0.006	0.04	0	98.751	0.16	1.101	0.003	0.079	0.003	0	NA	NA	NA	NA	NA	NA	49	64	5	865	" Mtot = 834.15."	"07/08/16"	"10:25:30"	3.775	3.772	99.852	NA	NA	1008.41	26	756.369701451507	4.57448254915567	0	-37.838
"88"	14	1	"07/08/16 10:35:58"	1467988462.39902	-36.426	1.871	-37.703	1.137	-20.435	8.409	4.408	0.009	0.048	0	4.408	0.007	0.048	0	34.85	0.135	0.384	0.003	0.07	0.003	0	NA	NA	NA	NA	NA	NA	45	65	5	865	" Mtot = 901.14."	"07/08/16"	"10:35:58"	4.456	4.456	35.234	NA	NA	1008.41	26	756.369701451507	4.57448254915567	0	-37.703
"89"	15	1	"07/08/16 10:46:33"	1467989097.71685	-36.498	1.618	-38.037	1.354	-19.611	7.64	4.288	0.008	0.046	0	4.289	0.007	0.046	0	33.41	0.133	0.368	0.003	0.065	0.003	0	NA	NA	NA	NA	NA	NA	45	65	5	865	" Mtot = 901.14."	"07/08/16"	"10:46:33"	4.335	4.334	33.778	NA	NA	1008.41	26	756.369701451507	4.57448254915567	0	-38.037
"90"	16	1	"07/08/16 10:57:21"	1467989746.02754	-36.634	1.549	-38.072	1.057	-21.467	9.548	4.286	0.009	0.046	0	4.287	0.007	0.046	0	32.529	0.128	0.358	0.004	0.063	0.003	0	NA	NA	NA	NA	NA	NA	45	65	5	866	" Mtot = 901.14."	"07/08/16"	"10:57:21"	4.333	4.332	32.887	NA	NA	1008.41	26	756.369701451507	4.57977096828764	0	-38.072
"97"	23	1	"07/08/16 13:59:48"	1468000693.26723	-36.246	0.784	-37.613	0.682	-13.625	5.795	9.286	0.015	0.101	0	9.287	0.014	0.101	0	42.18	0.126	0.468	0.003	0.071	0.002	0	NA	NA	NA	NA	NA	NA	44	66	3	864	" Mtot = 961.73."	"07/08/16"	"13:59:48"	9.388	9.387	42.648	NA	NA	1008.41	26	756.369701451507	7.61532355003949	0	-37.613
"98"	24	1	"07/08/16 14:09:35"	1468001279.92224	-36.252	0.914	-37.634	0.592	-15.927	5.571	8.88	0.016	0.096	0	8.882	0.014	0.096	0	37.831	0.134	0.419	0.002	0.087	0.002	0	NA	NA	NA	NA	NA	NA	44	66	3	864	" Mtot = 961.73."	"07/08/16"	"14:09:35"	8.978	8.976	38.25	NA	NA	1008.41	26	756.369701451507	7.61532355003949	0	-37.634
"99"	25	1	"07/08/16 14:20:22"	1468001926.37481	-36.085	0.957	-37.472	0.533	-14.535	7.578	8.762	0.015	0.095	0	8.764	0.014	0.095	0	35.689	0.125	0.396	0.003	0.092	0.002	0	NA	NA	NA	NA	NA	NA	44	66	3	864	" Mtot = 961.73."	"07/08/16"	"14:20:22"	8.859	8.857	36.085	NA	NA	1008.41	26	756.369701451507	7.61532355003949	0	-37.472
"100"	26	1	"07/08/16 14:32:27"	1468002651.47405	-36.255	0.837	-37.467	0.661	-16.23	6.255	10.173	0.017	0.11	0	10.173	0.016	0.11	0	33.712	0.123	0.373	0.003	0.081	0.002	0	NA	NA	NA	NA	NA	NA	46	67	3	864	" Mtot = 889.83."	"07/08/16"	"14:32:27"	10.283	10.283	34.085	NA	NA	1008.41	26	756.369701451507	7.61532355003949	0	-37.467
"101"	27	1	"07/08/16 14:42:51"	1468003275.58302	-36.29	0.862	-37.464	0.599	-18.66	10.866	10.012	0.017	0.109	0	10.012	0.016	0.108	0	25.583	0.126	0.283	0.003	0.08	0.002	0	NA	NA	NA	NA	NA	NA	46	67	3	864	" Mtot = 889.83."	"07/08/16"	"14:42:51"	10.12	10.121	25.866	NA	NA	1008.41	26	756.369701451507	7.61532355003949	0	-37.464
"102"	28	1	"07/08/16 14:55:53"	1468004058.09962	-36.339	0.742	-37.569	0.629	-51.277	23.286	9.656	0.016	0.105	0	9.656	0.015	0.105	0	8.704	0.103	0.093	0.003	0.071	0.002	0	NA	NA	NA	NA	NA	NA	48	68	3	864	" Mtot = 890.51."	"07/08/16"	"14:55:53"	9.761	9.761	8.797	NA	NA	1008.41	26	756.369701451507	7.61532355003949	0	-37.569
"103"	29	1	"07/08/16 15:06:21"	1468004685.14097	-36.213	0.793	-37.439	0.635	-117.998	48.433	9.571	0.015	0.104	0	9.572	0.015	0.104	0	4.177	0.111	0.041	0.003	0.082	0.002	0	NA	NA	NA	NA	NA	NA	48	68	3	864	" Mtot = 890.51."	"07/08/16"	"15:06:21"	9.676	9.675	4.218	NA	NA	1008.41	26	756.369701451507	7.61532355003949	0	-37.439
