"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean"	"Delta.13CO2.Mean"	"HR.12CH4.Mean"	"HR.13CH4.Mean"	"HP.12CH4.Mean"	"HP.13CH4.Mean"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"Timestamp.cor"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"	"cali.date"	"m.water"	"treatment"	"sample.date"	"sample.depth"	"T.equil"	"V.hs.initial"	"sal"	"hs.removed"
"77"	26	1	"04/11/16 17:57:09"	1460397328.18149	-125.852	-35.353	9.214	1.983	0.02	1.805	0.02	2	2	15	1156	" Mtot = 852.10g"	"04/11/16"	"17:57:09"	1460397328.18149	1.825	2.003	985.811	1007.2	4	755.46212681544	2.04025228879526	0	-35.353	"04/11/16"	875.81	"in situ"	"20160405"	5	28.5	0.1	34.99	0
"78"	27	1	"04/11/16 18:08:04"	1460397983.62823	-140.578	-33.41	7.543	1.932	0.019	1.736	0.019	2	2	15	1156	" Mtot = 852.10g"	"04/11/16"	"18:08:04"	1460397983.62823	1.755	1.951	883.967	1007.2	4	755.46212681544	2.04025228879526	2.15693884331845	-35.5669388433184	"04/11/16"	875.81	"in situ"	"20160405"	5	28.5	0.1	34.99	0
"79"	28	1	"04/11/16 18:19:16"	1460398656.30594	-140.764	-32.601	11.499	1.792	0.018	1.62	0.018	2	2	15	1202	" Mtot = 852.10g"	"04/11/16"	"18:19:16"	1460398656.30594	1.638	1.81	836.084	1007.2	4	755.46212681544	2.121438798557	2.2983742298667	-34.8993742298667	"04/11/16"	875.81	"in situ"	"20160405"	5	28.5	0.1	34.99	0
"80"	29	1	"04/11/16 18:31:08"	1460399366.1852	-148.284	-28.742	13.638	1.847	0.018	1.647	0.018	2	2	15	1202	" Mtot = 852.10g"	"04/11/16"	"18:31:08"	1460399366.1852	1.665	1.865	835.53	1007.2	4	755.46212681544	2.121438798557	2.26485849696357	-31.0068584969636	"04/11/16"	875.81	"in situ"	"20160405"	5	28.5	0.1	34.99	0
"81"	30	1	"04/11/16 18:42:00"	1460400020.12167	-111.688	-70.23	4.854	5.079	0.052	4.857	0.051	6	6	15	1203	" Mtot = 853.67g"	"04/11/16"	"18:42:00"	1460400020.12167	4.908	5.131	1320.213	1007.2	4	755.46212681544	2.12320372268226	0	-70.23	"04/11/16"	837.37	"in situ"	"20160407"	1.5	28.5	0.1	34.99	0
"82"	31	1	"04/11/16 18:52:14"	1460400634.1512	-110.932	-71.126	4.396	5.088	0.052	4.877	0.052	6	6	15	1203	" Mtot = 853.67g"	"04/11/16"	"18:52:14"	1460400634.1512	4.929	5.14	1327.922	1007.2	4	755.46212681544	2.12320372268226	0	-71.126	"04/11/16"	837.37	"in situ"	"20160407"	1.5	28.5	0.1	34.99	0
"83"	32	1	"04/11/16 19:05:34"	1460401432.86278	-107.77	-71.763	3.493	5.021	0.051	4.833	0.051	6	6	15	1204	" Mtot = 853.67g"	"04/11/16"	"19:05:34"	1460401432.86278	4.884	5.072	1304.735	1007.2	4	755.46212681544	2.12496864680752	0	-71.763	"04/11/16"	837.37	"in situ"	"20160407"	1.5	28.5	0.1	34.99	0
"84"	33	1	"04/11/16 19:16:08"	1460402068.59422	-133.808	-30.53	7.633	1.516	0.015	1.388	0.015	9	9	15	1204	" Mtot = 743.20g"	"04/11/16"	"19:16:08"	1460402068.59422	1.403	1.531	875.475	1007.2	4	755.46212681544	2.12496864680752	2.61584375770334	-33.1458437577033	"04/11/16"	726.88	"in situ"	"20160407"	6.5	28.5	0.1	34.99	0
"85"	34	1	"04/11/16 19:26:30"	1460402690.29867	-137.004	-28.584	8.756	1.526	0.015	1.388	0.015	9	9	15	1202	" Mtot = 743.20g"	"04/11/16"	"19:26:30"	1460402690.29867	1.403	1.541	866.976	1007.2	4	755.46212681544	2.121438798557	2.61584375770334	-31.1998437577033	"04/11/16"	726.88	"in situ"	"20160407"	6.5	28.5	0.1	34.99	0
"86"	35	1	"04/11/16 19:37:19"	1460403339.03601	-133.952	-32.873	5.724	1.739	0.017	1.588	0.017	21	21	15	1201	" Mtot = 870.05g"	"04/11/16"	"19:37:19"	1460403339.03601	1.605	1.756	875.737	1007.2	4	755.46212681544	2.11967387443175	2.34009629900694	-35.2130962990069	"04/11/16"	853.92	"in situ"	"20160407"	1	28.5	0.1	34.99	0
"87"	36	1	"04/11/16 19:47:49"	1460403968.91691	-141.081	-29.808	7.487	1.687	0.017	1.529	0.017	21	21	15	1200	" Mtot = 870.05g"	"04/11/16"	"19:47:49"	1460403968.91691	1.546	1.704	863.787	1007.2	4	755.46212681544	2.11790895030649	2.41687455216128	-32.2248745521613	"04/11/16"	853.92	"in situ"	"20160407"	1	28.5	0.1	34.99	0
"88"	37	1	"04/11/16 19:57:37"	1460404557.00757	-145.53	-29.457	7.551	1.696	0.017	1.526	0.017	21	21	15	1199	" Mtot = 870.05g"	"04/11/16"	"19:57:37"	1460404557.00757	1.543	1.713	856.233	1007.2	4	755.46212681544	2.11614402618124	2.4208564245689	-31.8778564245689	"04/11/16"	853.92	"in situ"	"20160407"	1	28.5	0.1	34.99	0
"225"	30	1	"04/15/16 01:00:43"	1460681948.09384	-53.625	-49.485	-2.865	1.92	0.021	1.981	0.022	15	15	15	868	" Mtot = 862.51. "	"04/15/16"	"01:00:43"	1460681948.09384	2.003	1.941	978.407	1023.2	7	767.46311373864	1.50799864203958	0	-49.485	"04/14.15.16/16"	846.33	"in situ"	"20160407"	3.5	28.5	0.1	34.99	0
"226"	31	1	"04/15/16 01:10:56"	1460682560.5636	-52.909	-49.736	-3.015	1.917	0.021	1.976	0.022	15	15	15	868	" Mtot = 862.51."	"04/15/16"	"01:10:56"	1460682560.5636	1.998	1.938	982.542	1023.2	7	767.46311373864	1.50799864203958	0	-49.736	"04/14.15.16/16"	846.33	"in situ"	"20160407"	3.5	28.5	0.1	34.99	0
"227"	32	1	"04/15/16 01:24:30"	1460683374.52464	-48.857	-49.658	-4.084	1.814	0.02	1.878	0.02	18	18	15	868	" Mtot = 816.86.  "	"04/15/16"	"01:24:30"	1460683374.52464	1.898	1.834	1431.822	1023.2	7	767.46311373864	1.50799864203958	0	-49.658	"04/14.15.16/16"	800.6	"in situ"	"20160407"	2	28.5	0.1	34.99	0
"228"	33	1	"04/15/16 01:38:18"	1460684202.48582	-52.647	-49.834	-3.996	1.787	0.02	1.849	0.02	18	18	15	868	" Mtot = 816.86. start john. Pssim = 868.1"	"04/15/16"	"01:38:18"	1460684202.48582	1.869	1.807	1420.832	1023.2	7	767.46311373864	1.50799864203958	0	-49.834	"04/14.15.16/16"	800.6	"in situ"	"20160407"	2	28.5	0.1	34.99	0
"229"	34	1	"04/15/16 01:50:59"	1460684964.53389	-48.699	-49.917	-4.593	2.024	0.022	2.088	0.023	12	12	15	868	" Mtot = 895.31. Brice noticed CO2 is very high (1780 ppm)"	"04/15/16"	"01:50:59"	1460684964.53389	2.111	2.046	1805.519	1023.2	7	767.46311373864	1.50799864203958	0	-49.917	"04/14.15.16/16"	879.19	"in situ"	"20160407"	5	28.5	0.1	34.99	0
"230"	35	1	"04/15/16 02:02:43"	1460685667.6688	-48.597	-50.032	-4.648	2.034	0.022	2.097	0.023	12	12	15	868	" Mtot = 895.31. Pssim = 868.4 "	"04/15/16"	"02:02:43"	1460685667.6688	2.12	2.056	1821.611	1023.2	7	767.46311373864	1.50799864203958	0	-50.032	"04/14.15.16/16"	879.19	"in situ"	"20160407"	5	28.5	0.1	34.99	0
"231"	36	1	"04/15/16 02:14:14"	1460686358.50953	-59.453	-58.921	-3.58	2.388	0.026	2.452	0.026	1	39	15	868	" Mtot = 922.39."	"04/15/16"	"02:14:14"	1460686358.50953	2.478	2.414	1040.159	1023.2	7	767.46311373864	1.50799864203958	0	-58.921	"04/14.15.16/16"	906.13	"in situ"	"20160412"	1	28.5	0.1	34.99	0
"232"	37	1	"04/15/16 02:25:06"	1460687010.69271	-61.713	-58.785	-3.359	2.352	0.026	2.431	0.026	1	39	15	868	" Mtot = 922.39. Pssim = 868.0 For some reason a particularly wet injection."	"04/15/16"	"02:25:06"	1460687010.69271	2.457	2.378	1023.575	1023.2	7	767.46311373864	1.50799864203958	0	-58.785	"04/14.15.16/16"	906.13	"in situ"	"20160412"	1	28.5	0.1	34.99	0
"233"	38	1	"04/15/16 02:37:03"	1460687728.00222	-60.197	-58.496	-3.076	2.15	0.023	2.227	0.024	3	40	15	868	" Mtot = 800.88. "	"04/15/16"	"02:37:03"	1460687728.00222	2.251	2.173	975.163	1023.2	7	767.46311373864	1.50799864203958	0	-58.496	"04/14.15.16/16"	784.75	"in situ"	"20160412"	2	28.5	0.1	34.99	0
"234"	39	1	"04/15/16 02:47:22"	1460688346.61229	-60.513	-58.643	-3.275	2.163	0.024	2.231	0.024	3	40	15	868	" Mtot = 800.88"	"04/15/16"	"02:47:22"	1460688346.61229	2.255	2.187	974.652	1023.2	7	767.46311373864	1.50799864203958	0	-58.643	"04/14.15.16/16"	784.75	"in situ"	"20160412"	2	28.5	0.1	34.99	0
"235"	40	1	"04/15/16 02:57:44"	1460688968.42133	-59.288	-58.013	-3.214	2.336	0.025	2.402	0.026	4	41	15	868	" Mtot = 911.16. Pssim = 867.7"	"04/15/16"	"02:57:44"	1460688968.42133	2.428	2.361	975.468	1023.2	7	767.46311373864	1.50799864203958	0	-58.013	"04/14.15.16/16"	894.85	"in situ"	"20160412"	3.5	28.5	0.1	34.99	0
"236"	41	1	"04/15/16 03:07:46"	1460689571.25771	-58.655	-58.313	-3.275	2.347	0.026	2.41	0.026	4	41	15	868	" Mtot = 911.16. Pssim = 867.9"	"04/15/16"	"03:07:46"	1460689571.25771	2.436	2.373	975.166	1023.2	7	767.46311373864	1.50799864203958	0	-58.313	"04/14.15.16/16"	894.85	"in situ"	"20160412"	3.5	28.5	0.1	34.99	0
"237"	42	1	"04/15/16 03:18:14"	1460690199.40707	-62.164	-63.222	-3.424	2.593	0.028	2.659	0.029	5	42	15	868	" Mtot = 833.74. On first try to draw headspace from bag. got a drop of water. dried out syringe with Kimwipe."	"04/15/16"	"03:18:14"	1460690199.40707	2.688	2.621	1009.172	1023.2	7	767.46311373864	1.50799864203958	0	-63.222	"04/14.15.16/16"	817.43	"in situ"	"20160412"	5	28.5	0.1	34.99	0
"238"	43	1	"04/15/16 03:28:42"	1460690826.05431	-62.275	-63.137	-3.297	2.636	0.029	2.701	0.029	5	42	15	868	" Mtot = 833.74. Pssim = 867.9"	"04/15/16"	"03:28:42"	1460690826.05431	2.73	2.665	1025.557	1023.2	7	767.46311373864	1.50799864203958	0	-63.137	"04/14.15.16/16"	817.43	"in situ"	"20160412"	5	28.5	0.1	34.99	0
"239"	44	1	"04/15/16 03:39:25"	1460691468.82422	-62.009	-63.259	-3.513	2.634	0.029	2.704	0.029	5	42	15	868	" Mtot = 833.74. Triplicate measurement."	"04/15/16"	"03:39:25"	1460691468.82422	2.733	2.663	1029.331	1023.2	7	767.46311373864	1.50799864203958	0	-63.259	"04/14.15.16/16"	817.43	"in situ"	"20160412"	5	28.5	0.1	34.99	0
"240"	45	1	"04/15/16 03:50:47"	1460692151.28449	-62.071	-63.188	-3.831	2.831	0.031	2.9	0.031	31	43	15	868	" Mtot = 864.17. Pssim = 867.8"	"04/15/16"	"03:50:47"	1460692151.28449	2.931	2.862	1143.925	1023.2	7	767.46311373864	1.50799864203958	0	-63.188	"04/14.15.16/16"	847.84	"in situ"	"20160412"	6.5	28.5	0.1	34.99	0
"241"	46	1	"04/15/16 04:01:45"	1460692809.88162	-62.178	-64.146	-4.023	2.836	0.031	2.902	0.031	31	43	15	868	" Mtot = 864.17."	"04/15/16"	"04:01:45"	1460692809.88162	2.933	2.867	1153.337	1023.2	7	767.46311373864	1.50799864203958	0	-64.146	"04/14.15.16/16"	847.84	"in situ"	"20160412"	6.5	28.5	0.1	34.99	0
"242"	47	1	"04/15/16 04:11:59"	1460693422.50004	-61.905	-63.674	-4.097	2.856	0.031	2.918	0.031	31	43	15	868	" Mtot = 864.17. Triplicate measurement."	"04/15/16"	"04:11:59"	1460693422.50004	2.949	2.887	1165.747	1023.2	7	767.46311373864	1.50799864203958	0	-63.674	"04/14.15.16/16"	847.84	"in situ"	"20160412"	6.5	28.5	0.1	34.99	0
"315"	21	1	"04/16/16 15:49:47"	1460821686.81816	-49.866	-50.921	-2.843	1.225	0.013	1.263	0.014	3	45	15	879	" mtotal=738.56. Pssim= 879."	"04/16/16"	"15:49:47"	1460821686.81816	1.277	1.238	1035.493	1027.67	8	770.815889460309	1.52046684042876	2.80874716704668	-53.7297471670467	"04/16/16"	722.43	"in situ"	"20160415"	1	28.5	0.1	34.99	0
"316"	22	1	"04/16/16 16:02:53"	1460822472.617	-58.252	-51.822	-2.661	1.232	0.013	1.283	0.014	3	45	15	879	" mtotal=738.56. "	"04/16/16"	"16:02:53"	1460822472.617	1.297	1.245	1040.354	1027.67	8	770.815889460309	1.52046684042876	2.77688949406467	-54.5988894940647	"04/16/16"	722.43	"in situ"	"20160415"	1	28.5	0.1	34.99	0
"317"	23	1	"04/16/16 16:16:24"	1460823283.62884	-61.629	-52.088	-2.698	1.05	0.011	1.101	0.012	4	46	15	879	" mtotal=897.94. Pssim= 879."	"04/16/16"	"16:16:24"	1460823283.62884	1.113	1.061	994.499	1027.67	8	770.815889460309	1.52046684042876	3.09052890179851	-55.1785289017985	"04/16/16"	881.64	"in situ"	"20160415"	2	28.5	0.1	34.99	0
"318"	24	1	"04/16/16 16:27:13"	1460823933.31846	-60.819	-51.568	-2.75	1.055	0.011	1.106	0.012	4	46	15	879	" mtotal=897.94. "	"04/16/16"	"16:27:13"	1460823933.31846	1.118	1.066	988.84	1027.67	8	770.815889460309	1.52046684042876	3.08134018179754	-54.6493401817975	"04/16/16"	881.64	"in situ"	"20160415"	2	28.5	0.1	34.99	0
"319"	25	1	"04/16/16 16:41:06"	1460824766.04479	-58.031	-55.012	-3.193	1.495	0.016	1.546	0.017	6	47	15	879	" mtotal=1032.63. Pssim= 879."	"04/16/16"	"16:41:06"	1460824766.04479	1.563	1.511	1034.452	1027.67	8	770.815889460309	1.52046684042876	2.39445554454935	-57.4064555445494	"04/16/16"	1016.33	"in situ"	"20160415"	3.5	28.5	0.1	34.99	0
"320"	26	1	"04/16/16 16:52:27"	1460825447.2245	-55.984	-53.825	-3.147	1.512	0.016	1.559	0.017	6	47	15	879	" mtotal=1032.63. "	"04/16/16"	"16:52:27"	1460825447.2245	1.576	1.528	1032.862	1027.67	8	770.815889460309	1.52046684042876	2.37747551755684	-56.2024755175568	"04/16/16"	1016.33	"in situ"	"20160415"	3.5	28.5	0.1	34.99	0
"321"	27	1	"04/16/16 17:04:52"	1460826191.16838	-66.869	-71.651	-3.533	3.036	0.032	3.088	0.033	21	48	15	879	" mtotal=1010.19. Pssim= 879."	"04/16/16"	"17:04:52"	1460826191.16838	3.121	3.068	1285.415	1027.67	8	770.815889460309	1.52046684042876	0	-71.651	"04/16/16"	994.06	"in situ"	"20160415"	5	28.5	0.1	34.99	0
"322"	28	1	"04/16/16 17:16:56"	1460826916.87158	-67.662	-71.402	-3.443	3.09	0.033	3.146	0.033	21	48	15	879	" mtotal=1010.19. "	"04/16/16"	"17:16:56"	1460826916.87158	3.179	3.123	1289.756	1027.67	8	770.815889460309	1.52046684042876	0	-71.402	"04/16/16"	994.06	"in situ"	"20160415"	5	28.5	0.1	34.99	0
"323"	29	1	"04/16/16 17:27:54"	1460827573.27713	-68.568	-71.343	-3.436	3.142	0.034	3.208	0.034	21	48	15	879	" mtotal=1010.19. Pssim= 879."	"04/16/16"	"17:27:54"	1460827573.27713	3.242	3.176	1272.792	1027.67	8	770.815889460309	1.52046684042876	0	-71.343	"04/16/16"	994.06	"in situ"	"20160415"	5	28.5	0.1	34.99	0
"324"	30	1	"04/16/16 17:39:57"	1460828298.00735	-68.583	-71.425	-3.454	3.267	0.035	3.332	0.036	21	48	15	879	" mtotal=1010.19. "	"04/16/16"	"17:39:57"	1460828298.00735	3.368	3.302	1282.695	1027.67	8	770.815889460309	1.52046684042876	0	-71.425	"04/16/16"	994.06	"in situ"	"20160415"	5	28.5	0.1	34.99	0
"326"	32	1	"04/16/16 18:04:59"	1460829799.59906	-64.341	-63.09	-3.067	2.21	0.024	2.278	0.025	9	49	15	879	" mtotal=819.83. Pssim= 878.6 Torr."	"04/16/16"	"18:04:59"	1460829799.59906	2.303	2.234	1085.358	1027.67	8	770.815889460309	1.52046684042876	0	-63.09	"04/16/16"	803.51	"in situ"	"20160415"	6.5	28.5	0.1	34.99	0
"327"	33	1	"04/16/16 18:18:39"	1460830619.47011	-66.176	-64.103	-3.079	2.274	0.025	2.342	0.025	9	49	15	879	" mtotal=819.83."	"04/16/16"	"18:18:39"	1460830619.47011	2.367	2.299	1098.31	1027.67	8	770.815889460309	1.52046684042876	0	-64.103	"04/16/16"	803.51	"in situ"	"20160415"	6.5	28.5	0.1	34.99	0
"328"	34	1	"04/16/16 18:33:57"	1460831535.87739	-59.855	-63.125	-3.623	2.467	0.027	2.53	0.027	9	49	15	879	" mtotal=819.83. Paper changed and septum replaced."	"04/16/16"	"18:33:57"	1460831535.87739	2.557	2.494	1127.836	1027.67	8	770.815889460309	1.52046684042876	0	-63.125	"04/16/16"	803.51	"in situ"	"20160415"	6.5	28.5	0.1	34.99	0
"329"	35	1	"04/16/16 18:47:30"	1460832349.94158	-60.78	-62.209	-3.542	2.54	0.028	2.608	0.028	9	49	15	878	" mtotal=819.83. Pssim=878 Torr."	"04/16/16"	"18:47:30"	1460832349.94158	2.636	2.568	1112.692	1027.67	8	770.815889460309	1.51873707155455	0	-62.209	"04/16/16"	803.51	"in situ"	"20160415"	6.5	28.5	0.1	34.99	0
